fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,874,10,3,4,0,0,0,0,0,fotonik3d_r
0,0,1443,0,47,10,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,874,10,3,4,0,0,0,0,0,fotonik3d_r
0,0,1443,0,47,10,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,874,10,3,4,0,0,0,0,0,fotonik3d_r
0,0,1443,0,47,10,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,887,26,6,7,0,0,0,0,0,fotonik3d_r
0,0,1443,0,47,10,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,887,26,6,7,0,0,0,0,0,fotonik3d_r
0,0,1443,0,47,10,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,887,26,6,7,0,0,0,0,0,fotonik3d_r
0,0,1443,0,47,10,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,887,26,6,7,0,0,0,0,0,fotonik3d_r
0,0,1443,0,47,10,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,1500,0,0,0,0,0,0,0,0,fotonik3d_r
0,0,887,26,6,7,0,0,0,0,0,fotonik3d_r
